#Results of heat pump HP2 in year 2
#Name of heat pump: 'WPC 07 / WPC 07 cool'
#Linked bhe to heat pump: 
#1579858938372
#Vdot_soil of each BHE: 
#0.0005056
#Simulated time = 17520 h
#Simulated end time in years = 2 years
#Summed time of this year, when heat pump was shut down because of subsurface boundary condition  = 3285 h
#BlockingTime = 0 h
#Second Heat generator on during blocking time = 0 (0 = false; 1 = true)
#operatingMode = 0 (0=monovalent, 1=monoenergetic, 2=bivalent parallel, 3=bivalent teilparallel, 4=bivalent alternativ)
#application range = 2 (0=heating, 1=dhw, 2=heating+dhw, 3=heating+cooling, 4=heating+cooling+dhw, 5=cooling, 6=dhw+cooling)
#heating storage volume = 1000 l, T_st_min = 25 °C, T_st_max = 35 °C, dhw storage volume = 300 l, T_st_min_dhw = 50 °C, T_st_max_dhw = 56 °C
# 
#Run time of heat pump in this year = 2002.12 h
#Middled heating load coverage in this year = 72 %
#Middled dhw load coverage in this year = 87 %
#Middled load coverage (dhw + heating) in this year = 79.5 %
#Middled coverage ratio heating of heat pump in this year = 61 %
#Middled coverage ratio dhw of heat pump in this year = 61 %
#Middled coverage ratio (heating + dhw) of heat pump in this year = 61 %
#Middled coverage ratio cooling in this year = 0 %
#Middled heating power of heat pump = 2980.64 W
#Middled dhw power of heat pump = 1208.77 W
#Middled soil heat flux to heat pump = 3195.25 W
#Electrical energy demand of soil pump in this year = 140.148 kWh/a
#Seasonal Performance Factor (SPF_WP) in this year (only heat pump) = 4.05146
#Seasonal Performance Factor (SPF_WPA) in this year (heat pump + soil pump + second electric heat generator) = 3.79716
# 
#t = time [s]
#T_s_out = brine temperature out of soil [°C]
#T_crit_s? = Is soil temperature of subsurface model < critical soil temperature? -> 0 = No -> HP = on; 1 = Yes -> HP = off; 
#Q_HL = heating load of all buildings linked to heat pump [W]
#Q_dhw = domestic hot water (dhw) load of all buildings linked to heat pump [W]
#HP_on = Is heat pump on? -> 0 = off; 1 = on
#HP_mode = Mode of heat pump -> 0 = heating; 1 = dhw
#Q_h = heat pump heating power depending on T_s_out [W]
#hLC(t) = heating load coverage of heat pump [%]
#Q_dhw = heat pump dhw power depending on T_s_out [W]
#dhwLC(t) = dhw load coverage of heat pump [%]
#P_el = heat pump electric power depending on T_s_out [W]
#COP* = ratio of heating power and electric power of heat pump in actual mode and time step
#T_st = heating storage temperature in [°C]
#T_st_dhw = domestic hot water (dhw) storage temperature in [°C]
#T_s_in = brine inlet temperature -> into soil [°C]
#dT = temperature difference (T_S_out - T_s_in)  [K]
#hBlock? = Is in this time step a blocking hour of HP? -> 0 = No; 1 = Yes -> HP = off; 
# 
#t:	T_s_out:	T_crit_s?	Q_HL:	Q_dhw:	HP_on:	HP_mode:	Q_h:	hLC(t):	Q_dhw:	dhwLC(t):	P_el:	COP*:	T_st:	T_st_dhw:	T_s_in:	dT:	hBlock?
34251840	-0.69	0	2920	0	1	0	7366.34	100	0	100	1548.62	4.7567	30	51.6	-3.6	2.9	0
34251900	-0.69	0	2920	0	1	0	7366.34	100	0	100	1548.62	4.7567	30	51.6	-3.6	2.9	0
34251960	-0.69	0	2920	0	1	0	7366.34	100	0	100	1548.62	4.7567	30.1	51.6	-3.6	2.9	0
34252020	-0.69	0	2920	0	1	0	7366.33	100	0	100	1548.62	4.7567	30.2	51.6	-3.6	2.9	0
34252080	-0.69	0	2920	0	1	0	7366.33	100	0	100	1548.62	4.7567	30.2	51.6	-3.6	2.9	0
34252140	-0.69	0	2920	0	1	0	7366.33	100	0	100	1548.62	4.7567	30.3	51.6	-3.6	2.9	0
34252200	-0.69	0	2920	0	1	0	7366.33	100	0	100	1548.62	4.7567	30.4	51.6	-3.6	2.9	0
34252260	-0.69	0	2920	0	1	0	7366.32	100	0	100	1548.62	4.7567	30.4	51.6	-3.6	2.9	0
34252320	-0.69	0	2920	0	1	0	7366.32	100	0	100	1548.62	4.7567	30.5	51.6	-3.6	2.9	0
34252380	-0.69	0	2920	0	1	0	7366.32	100	0	100	1548.62	4.7567	30.5	51.6	-3.6	2.9	0
34252440	-0.69	0	2920	0	1	0	7366.31	100	0	100	1548.62	4.7567	30.6	51.6	-3.6	2.9	0
34252500	-0.69	0	2920	0	1	0	7366.31	100	0	100	1548.62	4.7567	30.7	51.6	-3.6	2.9	0
34252560	-0.69	0	2920	0	1	0	7366.31	100	0	100	1548.62	4.7567	30.7	51.6	-3.6	2.9	0
34252620	-0.69	0	2920	0	1	0	7366.31	100	0	100	1548.62	4.7567	30.8	51.6	-3.6	2.9	0
34252680	-0.69	0	2920	0	1	0	7366.3	100	0	100	1548.62	4.7567	30.9	51.6	-3.6	2.9	0
34252740	-0.69	0	2920	0	1	0	7366.3	100	0	100	1548.62	4.7567	30.9	51.6	-3.6	2.9	0
34252800	-0.69	0	2920	0	1	0	7366.3	100	0	100	1548.62	4.7567	31	51.6	-3.6	2.9	0
34252860	-0.69	0	2920	0	1	0	7366.29	100	0	100	1548.62	4.7567	31.1	51.6	-3.6	2.9	0
34252920	-0.69	0	2920	0	1	0	7366.29	100	0	100	1548.62	4.7567	31.1	51.6	-3.6	2.9	0
34252980	-0.69	0	2920	0	1	0	7366.29	100	0	100	1548.62	4.7567	31.2	51.6	-3.6	2.9	0
34253040	-0.69	0	2920	0	1	0	7366.28	100	0	100	1548.62	4.7567	31.2	51.6	-3.6	2.9	0
34253100	-0.69	0	2920	0	1	0	7366.28	100	0	100	1548.62	4.7567	31.3	51.6	-3.6	2.9	0
34253160	-0.69	0	2920	0	1	0	7366.28	100	0	100	1548.62	4.7567	31.4	51.6	-3.6	2.9	0
34253220	-0.69	0	2920	0	1	0	7366.28	100	0	100	1548.62	4.7567	31.4	51.6	-3.6	2.9	0
